TITLE = 'solution of Poisson Equation'
 No.   Coord-x,  Coord-y   Result_SPh   Exact_Solution
 1079   0.650000   0.300000          0.0359    0.036518
 1120   0.675000   0.300000          0.0341    0.034946
 1161   0.700000   0.300000          0.0326    0.033158
 1202   0.725000   0.300000          0.0303    0.031165
 1243   0.750000   0.300000          0.0284    0.028981
 1284   0.775000   0.300000          0.0257    0.026618
 1325   0.800000   0.300000          0.0236    0.024091
 1366   0.825000   0.300000          0.0204    0.021415
 1407   0.850000   0.300000          0.0181    0.018607
 1448   0.875000   0.300000          0.0146    0.015684
 1489   0.900000   0.300000          0.0123    0.012665
 1530   0.925000   0.300000          0.0083    0.009568
 1571   0.950000   0.300000          0.0061    0.006412
 1612   0.975000   0.300000          0.0017    0.003216
 1653   1.000000   0.300000          0.0000    0.000000
 14   0.000000   0.325000          0.0000    0.000000
 55   0.025000   0.325000          0.0018    0.003389
 96   0.050000   0.325000          0.0064    0.006757
 137   0.075000   0.325000          0.0087    0.010084
 178   0.100000   0.325000          0.0128    0.013348
 219   0.125000   0.325000          0.0153    0.016530
 260   0.150000   0.325000          0.0190    0.019610
 301   0.175000   0.325000          0.0214    0.022569
 342   0.200000   0.325000          0.0247    0.025390
 383   0.225000   0.325000          0.0269    0.028053
 424   0.250000   0.325000          0.0298    0.030544
 465   0.275000   0.325000          0.0318    0.032846
 506   0.300000   0.325000          0.0341    0.034946
 547   0.325000   0.325000          0.0358    0.036830
 588   0.350000   0.325000          0.0376    0.038487
 629   0.375000   0.325000          0.0389    0.039907
 670   0.400000   0.325000          0.0402    0.041081
 711   0.425000   0.325000          0.0410    0.042002
 752   0.450000   0.325000          0.0418    0.042663
 793   0.475000   0.325000          0.0420    0.043062
 834   0.500000   0.325000          0.0423    0.043195
 875   0.525000   0.325000          0.0420    0.043062
 916   0.550000   0.325000          0.0418    0.042663
 957   0.575000   0.325000          0.0410    0.042002
 998   0.600000   0.325000          0.0402    0.041081
 1039   0.625000   0.325000          0.0389    0.039907
 1080   0.650000   0.325000          0.0376    0.038487
 1121   0.675000   0.325000          0.0358    0.036830
 1162   0.700000   0.325000          0.0341    0.034946
 1203   0.725000   0.325000          0.0318    0.032846
 1244   0.750000   0.325000          0.0298    0.030544
 1285   0.775000   0.325000          0.0269    0.028053
 1326   0.800000   0.325000          0.0247    0.025390
 1367   0.825000   0.325000          0.0214    0.022569
 1408   0.850000   0.325000          0.0190    0.019610
 1449   0.875000   0.325000          0.0153    0.016530
 1490   0.900000   0.325000          0.0128    0.013348
 1531   0.925000   0.325000          0.0087    0.010084
 1572   0.950000   0.325000          0.0064    0.006757
 1613   0.975000   0.325000          0.0018    0.003389
 1654   1.000000   0.325000          0.0000    0.000000
 15   0.000000   0.350000          0.0000    0.000000
 56   0.025000   0.350000          0.0019    0.003542
 97   0.050000   0.350000          0.0067    0.007061
 138   0.075000   0.350000          0.0091    0.010537
 179   0.100000   0.350000          0.0135    0.013949
 220   0.125000   0.350000          0.0161    0.017274
 261   0.150000   0.350000          0.0200    0.020493
 302   0.175000   0.350000          0.0225    0.023585
 343   0.200000   0.350000          0.0260    0.026532
